Operating System,Operating System Version,Browser,Browser Version,Device Category,Pageviews
Macintosh,Intel 10.13,Chrome,79.0.3945.88,desktop,21
Macintosh,Intel 10.13,Chrome,80.0.3987.53,desktop,1
Macintosh,Intel 10.14,Chrome,70.0.3538.110,desktop,1
Macintosh,Intel 10.14,Chrome,71.0.3578.98,desktop,1
Macintosh,Intel 10.14,Chrome,77.0.3865.90,desktop,1
Macintosh,Intel 10.14,Chrome,78.0.3904.108,desktop,9
Macintosh,Intel 10.14,Chrome,78.0.3904.97,desktop,1
Macintosh,Intel 10.14,Chrome,79.0.3945.117,desktop,59
Macintosh,Intel 10.14,Chrome,79.0.3945.130,desktop,62
Macintosh,Intel 10.14,Chrome,79.0.3945.79,desktop,2
Macintosh,Intel 10.14,Chrome,79.0.3945.88,desktop,82
Macintosh,Intel 10.14,Chrome,80.0.3987.53,desktop,1
Macintosh,Intel 10.14,Chrome,81.0.4036.0,desktop,1
Macintosh,Intel 10.14,Chrome,81.0.4040.0,desktop,1
Macintosh,Intel 10.15,Chrome,78.0.3904.108,desktop,1
Macintosh,Intel 10.15,Chrome,79.0.3945.117,desktop,96
Macintosh,Intel 10.15,Chrome,79.0.3945.130,desktop,71
Macintosh,Intel 10.15,Chrome,79.0.3945.79,desktop,2
Macintosh,Intel 10.15,Chrome,79.0.3945.88,desktop,103
Macintosh,Intel 10.15,Chrome,80.0.3987.122,desktop,1
Macintosh,Intel 10.15,Chrome,81.0.4001.0,desktop,2
Macintosh,Intel 10.15,Chrome,81.0.4015.0,desktop,1
Macintosh,Intel 10.15,Chrome,81.0.4022.0,desktop,1
Windows,10,Chrome,72.0.3626.121,desktop,7
Windows,10,Chrome,73.0.3683.75,desktop,3
Windows,10,Chrome,74.0.3729.131,desktop,1
Windows,10,Chrome,75.0.3770.100,desktop,3
Windows,10,Chrome,75.0.3770.145,desktop,1
Windows,10,Chrome,75.0.3770.80,desktop,2
Windows,10,Chrome,76.0.3809.100,desktop,3
Windows,10,Chrome,77.0.3865.120,desktop,5
Windows,10,Chrome,77.0.3865.90,desktop,2
Windows,10,Chrome,78.0.3904.108,desktop,19
Windows,10,Chrome,78.0.3904.87,desktop,5
Windows,10,Chrome,78.0.3904.97,desktop,2
Windows,10,Chrome,79.0.3945.117,desktop,361
Windows,10,Chrome,79.0.3945.130,desktop,258
Windows,10,Chrome,79.0.3945.79,desktop,6
Windows,10,Chrome,79.0.3945.88,desktop,224
Windows,10,Chrome,79.0.3945.94,desktop,3
Windows,10,Chrome,80.0.3987.87,desktop,1
Windows,10,Chrome,81.0.4003.0,desktop,1
Windows,10,Chrome,81.0.4034.0,desktop,2
Windows,10,Chrome,81.0.4041.0,desktop,1
Windows,7,Chrome,53.0.2800.0,desktop,2
Windows,7,Chrome,62.0.3202.94,desktop,1
Windows,7,Chrome,72.0.3626.121,desktop,1
Windows,7,Chrome,74.0.3729.131,desktop,1
Windows,7,Chrome,75.0.3770.27,desktop,2
Windows,7,Chrome,76.0.3809.132,desktop,1
Windows,7,Chrome,77.0.3865.90,desktop,1
Windows,7,Chrome,78.0.3904.108,desktop,1
Windows,7,Chrome,78.0.3904.70,desktop,3
Windows,7,Chrome,79.0.3945.117,desktop,25
Windows,7,Chrome,79.0.3945.130,desktop,9
Windows,7,Chrome,79.0.3945.79,desktop,3
Windows,7,Chrome,79.0.3945.88,desktop,42
Windows,8,Chrome,79.0.3945.130,desktop,1
Windows,8,Chrome,79.0.3945.88,desktop,3
Windows,8.1,Chrome,71.0.0.0,desktop,1
Windows,8.1,Chrome,79.0.3945.117,desktop,2
Windows,8.1,Chrome,79.0.3945.130,desktop,3
Windows,Vista,Chrome,49.0.2623.112,desktop,4
Windows,10,Edge,13.10586,mobile,2
Windows,10,Edge,17.17134,desktop,8
Windows,10,Edge,18.18362,desktop,25
Windows,10,Edge,18.18363,desktop,1
Android,10,Firefox,68.0,mobile,4
Android,7.0,Firefox,68.0,mobile,8
Android,8.0.0,Firefox,68.0,mobile,4
Android,8.1.0,Firefox,68.0,mobile,2
Android,9,Firefox,67.0,mobile,1
Android,9,Firefox,68.0,mobile,31
Linux,i686,Firefox,62.0,desktop,2
Linux,i686,Firefox,68.0,desktop,1
Linux,i686,Firefox,72.0,desktop,1
Linux,x86_64,Firefox,60.0,desktop,4
Linux,x86_64,Firefox,65.0,desktop,1
Linux,x86_64,Firefox,66.0,desktop,4
Linux,x86_64,Firefox,68.0,desktop,16
Linux,x86_64,Firefox,70.0,desktop,4
Linux,x86_64,Firefox,71.0,desktop,56
Linux,x86_64,Firefox,72.0,desktop,84
Macintosh,Intel 10.11,Firefox,71.0,desktop,1
Macintosh,Intel 10.12,Firefox,71.0,desktop,5
Macintosh,Intel 10.12,Firefox,72.0,desktop,9
Macintosh,Intel 10.13,Firefox,71.0,desktop,12
Macintosh,Intel 10.13,Firefox,72.0,desktop,4
Macintosh,Intel 10.13,Firefox,73.0,desktop,1
Macintosh,Intel 10.14,Firefox,71.0,desktop,26
Macintosh,Intel 10.14,Firefox,72.0,desktop,10
Macintosh,Intel 10.14,Firefox,73.0,desktop,2
Macintosh,Intel 10.15,Firefox,71.0,desktop,3
Macintosh,Intel 10.15,Firefox,72.0,desktop,62
Macintosh,Intel 10.15,Firefox,73.0,desktop,9
Macintosh,Intel 10.15,Firefox,74.0,desktop,1
Macintosh,Intel 10.9,Firefox,71.0,desktop,1
Windows,10,Firefox,52.0,desktop,6
Windows,10,Firefox,56.0,desktop,1
Windows,10,Firefox,60.0,desktop,6
Windows,10,Firefox,68.0,desktop,12
Windows,10,Firefox,70.0,desktop,1
Windows,10,Firefox,71.0,desktop,48
Windows,10,Firefox,72.0,desktop,164
Windows,10,Firefox,73.0,desktop,9
Windows,7,Firefox,45.0,desktop,1
Windows,7,Firefox,52.0,desktop,1
Windows,7,Firefox,60.0,desktop,10
Windows,7,Firefox,67.0,desktop,1
Windows,7,Firefox,68.0,desktop,9
Windows,7,Firefox,71.0,desktop,7
Windows,7,Firefox,72.0,desktop,19
Windows,8,Firefox,72.0,desktop,1
Windows,8.1,Firefox,60.0,desktop,1
Windows,8.1,Firefox,72.0,desktop,2
(not set),(not set),Hexometer,(not set),desktop,1
Windows,10,Internet Explorer,11.0,desktop,3
Windows,7,Internet Explorer,11.0,desktop,1
Macintosh,Intel 10.14,Mozilla Compatible Agent,5.0,desktop,11
Android,10,Opera,55.2.2719.50740,mobile,1
Android,9,Opera,53.0.2569.141117,mobile,1
Android,9,Opera,55.2.2719.50740,mobile,2
Linux,x86_64,Opera,65.0.3467.42,desktop,1
Linux,x86_64,Opera,65.0.3467.48,desktop,2
Linux,x86_64,Opera,65.0.3467.69,desktop,3
Macintosh,Intel 10.14,Opera,65.0.3467.78,desktop,2
Windows,10,Opera,64.0.3417.150,desktop,1
Windows,10,Opera,64.0.3417.167,desktop,1
Windows,10,Opera,65.0.3467.78,desktop,7
Windows,10,Opera,66.0.3515.44,desktop,2
Windows,10,Opera,67.0.3554.0,desktop,1
Windows,7,Opera,65.0.3467.48,desktop,2
Android,(not set),Opera Mini,44.1.2254,mobile,3
Android,(not set),Opera Mini,45.0.2254,mobile,2
iOS,(not set),Safari,13.0.3,mobile,1
iOS,10.3.4,Safari,10.0,tablet,4
iOS,11.1.2,Safari,11.0,tablet,1
iOS,11.4.1,Safari,11.0,tablet,1
iOS,12.1,Safari,605.1,mobile,1
iOS,12.1.4,Safari,12.0,mobile,1
iOS,12.3.1,Safari,12.1.1,mobile,1
iOS,12.4,Safari,12.1.2,mobile,5
iOS,12.4,Safari,12.1.2,tablet,1
iOS,12.4,Safari,605.1,mobile,3
iOS,12.4.1,Safari,12.1.2,mobile,12
iOS,12.4.2,Safari,12.1.2,mobile,3
iOS,12.4.4,Safari,12.1.2,mobile,9
iOS,12.4.4,Safari,12.1.2,tablet,8
iOS,12.4.4,Safari,605.1.15,mobile,3
iOS,13.0,Safari,13.0,mobile,1
iOS,13.1,Safari,13.0.1,mobile,1
iOS,13.1.1,Safari,13.0.1,mobile,1
iOS,13.1.2,Safari,13.0.1,mobile,3
iOS,13.1.3,Safari,13.0.1,mobile,4
iOS,13.2,Safari,13.0.3,mobile,1
iOS,13.2.3,Safari,13.0.3,mobile,7
iOS,13.3,Safari,13.0.4,mobile,106
iOS,13.3,Safari,13.0.4,tablet,7
iOS,13.3,Safari,604.1,mobile,2
iOS,13.3,Safari,605.1.15,mobile,3
iOS,13.3.1,Safari,13.0.5,mobile,2
iOS,7.1.2,Safari,7.0,mobile,1
iOS,9.3.5,Safari,601.1.46,tablet,6
Linux,x86_64,Safari,10.0,desktop,20
Linux,x86_64,Safari,9.0,desktop,1
Macintosh,Intel 10.10,Safari,10.1.2,desktop,1
Macintosh,Intel 10.12,Safari,12.1.2,desktop,1
Macintosh,Intel 10.13,Safari,13.0.3,desktop,1
Macintosh,Intel 10.13,Safari,13.0.4,desktop,11
Macintosh,Intel 10.14,Safari,12.0,desktop,1
Macintosh,Intel 10.14,Safari,12.0.1,desktop,2
Macintosh,Intel 10.14,Safari,12.0.2,desktop,2
Macintosh,Intel 10.14,Safari,12.0.3,desktop,1
Macintosh,Intel 10.14,Safari,12.1.1,desktop,5
Macintosh,Intel 10.14,Safari,12.1.2,desktop,7
Macintosh,Intel 10.14,Safari,13.0.1,desktop,1
Macintosh,Intel 10.14,Safari,13.0.2,desktop,7
Macintosh,Intel 10.14,Safari,13.0.3,desktop,1
Macintosh,Intel 10.14,Safari,13.0.4,desktop,32
Macintosh,Intel 10.15,Safari,13.0.1,desktop,4
Macintosh,Intel 10.15,Safari,13.0.2,desktop,1
Macintosh,Intel 10.15,Safari,13.0.3,desktop,27
Macintosh,Intel 10.15,Safari,13.0.4,desktop,117
Macintosh,Intel 10.15,Safari,13.0.5,desktop,2
Macintosh,Intel 10.15,Safari,13.2,desktop,2
Windows Phone,8.1,Safari,537,mobile,1
iOS,11.4.1,Safari (in-app),(not set),mobile,1
iOS,13.3,Safari (in-app),(not set),mobile,10
Android,10,Samsung Internet,11.0,mobile,1
Android,6.0.1,Samsung Internet,4.0,mobile,1
Android,7.0,Samsung Internet,10.2,mobile,1
Android,8.0.0,Samsung Internet,10.1,mobile,2
Android,8.0.0,Samsung Internet,10.2,mobile,2
Android,8.0.0,Samsung Internet,9.4,mobile,1
Android,9,Samsung Internet,10.2,mobile,7
Android,9,Samsung Internet,10.2,tablet,5
# ----------------------------------------
# jamstatic.fr
# Browser & OS
# 20200101-20200229
# ----------------------------------------
